,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
20,32,6.0,16535,3.7352606999999693,"[4, 3, 6, 7, 4, 2, 3, 7, 6, 5, 7, 0, 3, 2, 4, 6, 0, 11, 10, 4, 0, 6, 5, 2, 11, 10, 4, 0, 2, 3, 5, 2, 8, 10, 11, 3, 1, 3, 5, 3, 3, 9, 4, 0, 8, 1, 6, 2, 6, 11, 5, 3, 5, 2, 0, 2, 4, 6, 3, 8, 0, 10, 0, 7, 4, 6, 6, 5, 10, 0, 1, 10, 0, 2, 3, 4, 5, 8, 7, 10, 3, 9, 4, 0, 8, 10, 2, 11, 1, 1, 9, 7, 11, 1, 8, 7, 5, 11, 9, 5]",500,0.2,4096
21,64,1.0,32571,7.430155999999954,"[11, 10, 3, 1, 9, 3, 5, 1, 6, 5, 11, 9, 1, 2, 5, 6, 10, 5, 5, 1, 9, 11, 11, 2, 1, 8, 4, 2, 4, 6, 5, 4, 6, 7, 3, 1, 5, 7, 4, 9, 2, 11, 4, 1, 0, 8, 5, 1, 5, 11, 10, 3, 11, 3, 2, 0, 7, 6, 0, 3, 7, 7, 10, 3, 5, 11, 7, 11, 9, 1, 6, 10, 10, 7, 10, 9, 8, 0, 5, 9, 8, 2, 6, 6, 3, 6, 1, 2, 2, 6, 7, 1, 8, 6, 11, 5, 9, 6, 11, 0]",500,0.2,4096
22,128,0.0,38584,8.760074999999972,"[11, 10, 3, 10, 0, 1, 10, 7, 6, 5, 4, 9, 1, 2, 0, 6, 10, 4, 5, 2, 0, 11, 11, 2, 1, 8, 4, 9, 4, 6, 5, 4, 6, 3, 3, 9, 11, 7, 10, 5, 2, 6, 4, 5, 0, 8, 5, 6, 5, 11, 10, 6, 11, 3, 2, 0, 7, 7, 6, 10, 3, 7, 10, 0, 5, 10, 7, 11, 9, 1, 6, 10, 10, 7, 10, 0, 8, 3, 5, 9, 8, 10, 6, 7, 3, 6, 1, 2, 2, 4, 7, 1, 1, 6, 11, 2, 0, 6, 1, 0]",500,0.2,4096
23,256,0.0,38584,8.760074999999972,"[11, 10, 3, 10, 0, 1, 10, 7, 6, 5, 4, 9, 1, 2, 0, 6, 10, 4, 5, 2, 0, 11, 11, 2, 1, 8, 4, 9, 4, 6, 5, 4, 6, 3, 3, 9, 11, 7, 10, 5, 2, 6, 4, 5, 0, 8, 5, 6, 5, 11, 10, 6, 11, 3, 2, 0, 7, 7, 6, 10, 3, 7, 10, 0, 5, 10, 7, 11, 9, 1, 6, 10, 10, 7, 10, 0, 8, 3, 5, 9, 8, 10, 6, 7, 3, 6, 1, 2, 2, 4, 7, 1, 1, 6, 11, 2, 0, 6, 1, 0]",500,0.2,4096
24,512,0.0,38584,8.760074999999972,"[11, 10, 3, 10, 0, 1, 10, 7, 6, 5, 4, 9, 1, 2, 0, 6, 10, 4, 5, 2, 0, 11, 11, 2, 1, 8, 4, 9, 4, 6, 5, 4, 6, 3, 3, 9, 11, 7, 10, 5, 2, 6, 4, 5, 0, 8, 5, 6, 5, 11, 10, 6, 11, 3, 2, 0, 7, 7, 6, 10, 3, 7, 10, 0, 5, 10, 7, 11, 9, 1, 6, 10, 10, 7, 10, 0, 8, 3, 5, 9, 8, 10, 6, 7, 3, 6, 1, 2, 2, 4, 7, 1, 1, 6, 11, 2, 0, 6, 1, 0]",500,0.2,4096
25,1024,0.0,38584,8.760074999999972,"[11, 10, 3, 10, 0, 1, 10, 7, 6, 5, 4, 9, 1, 2, 0, 6, 10, 4, 5, 2, 0, 11, 11, 2, 1, 8, 4, 9, 4, 6, 5, 4, 6, 3, 3, 9, 11, 7, 10, 5, 2, 6, 4, 5, 0, 8, 5, 6, 5, 11, 10, 6, 11, 3, 2, 0, 7, 7, 6, 10, 3, 7, 10, 0, 5, 10, 7, 11, 9, 1, 6, 10, 10, 7, 10, 0, 8, 3, 5, 9, 8, 10, 6, 7, 3, 6, 1, 2, 2, 4, 7, 1, 1, 6, 11, 2, 0, 6, 1, 0]",500,0.2,4096
26,2048,0.0,38584,8.760074999999972,"[11, 10, 3, 10, 0, 1, 10, 7, 6, 5, 4, 9, 1, 2, 0, 6, 10, 4, 5, 2, 0, 11, 11, 2, 1, 8, 4, 9, 4, 6, 5, 4, 6, 3, 3, 9, 11, 7, 10, 5, 2, 6, 4, 5, 0, 8, 5, 6, 5, 11, 10, 6, 11, 3, 2, 0, 7, 7, 6, 10, 3, 7, 10, 0, 5, 10, 7, 11, 9, 1, 6, 10, 10, 7, 10, 0, 8, 3, 5, 9, 8, 10, 6, 7, 3, 6, 1, 2, 2, 4, 7, 1, 1, 6, 11, 2, 0, 6, 1, 0]",500,0.2,4096
27,4096,0.0,38584,8.760074999999972,"[11, 10, 3, 10, 0, 1, 10, 7, 6, 5, 4, 9, 1, 2, 0, 6, 10, 4, 5, 2, 0, 11, 11, 2, 1, 8, 4, 9, 4, 6, 5, 4, 6, 3, 3, 9, 11, 7, 10, 5, 2, 6, 4, 5, 0, 8, 5, 6, 5, 11, 10, 6, 11, 3, 2, 0, 7, 7, 6, 10, 3, 7, 10, 0, 5, 10, 7, 11, 9, 1, 6, 10, 10, 7, 10, 0, 8, 3, 5, 9, 8, 10, 6, 7, 3, 6, 1, 2, 2, 4, 7, 1, 1, 6, 11, 2, 0, 6, 1, 0]",500,0.2,4096
28,0,18.0,500,0.08910989999998264,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",500,0.3,4096
29,1,8.0,1002,0.20917229999997744,"[10, 2, 3, 3, 3, 1, 10, 5, 0, 11, 4, 1, 8, 1, 5, 3, 5, 1, 11, 1, 11, 6, 2, 2, 6, 7, 6, 2, 2, 6, 2, 1, 6, 2, 4, 6, 1, 7, 1, 3, 3, 7, 10, 0, 11, 8, 5, 3, 5, 5, 8, 10, 11, 3, 7, 0, 5, 4, 2, 3, 7, 10, 10, 9, 10, 1, 7, 6, 0, 1, 6, 10, 10, 2, 1, 0, 6, 2, 5, 9, 7, 5, 6, 10, 5, 6, 4, 8, 2, 5, 8, 0, 4, 3, 8, 10, 10, 0, 3, 0]",500,0.3,4096
