,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
118,118,135.41887019999558,144.0,476134.0,True,4000,0.25,4096
119,119,136.67943709999963,144.0,480135.0,True,4000,0.25,4096
120,120,137.90836719999788,144.0,484136.0,True,4000,0.25,4096
121,121,139.21269339999708,144.0,488137.0,True,4000,0.25,4096
122,122,140.43759899999714,144.0,492138.0,True,4000,0.25,4096
123,123,141.69568809999328,144.0,496139.0,True,4000,0.25,4096
124,124,142.88099619999412,144.0,500140.0,True,4000,0.25,4096
125,125,144.14975320000667,144.0,504141.0,True,4000,0.25,4096
126,126,145.36521040000662,144.0,508142.0,True,4000,0.25,4096
127,127,146.57604970000102,144.0,512143.0,True,4000,0.25,4096
128,128,147.8687590000045,144.0,516144.0,True,4000,0.25,4096
129,129,149.1542455000017,144.0,520145.0,True,4000,0.25,4096
130,130,150.42383929999778,144.0,524146.0,True,4000,0.25,4096
131,131,151.71236980000685,144.0,528147.0,True,4000,0.25,4096
132,132,152.93367630000284,144.0,532148.0,True,4000,0.25,4096
133,133,154.1901990000042,144.0,536149.0,True,4000,0.25,4096
134,134,155.44451139999728,144.0,540150.0,True,4000,0.25,4096
135,135,156.7295926999941,144.0,544151.0,True,4000,0.25,4096
136,136,157.95240369999374,144.0,548152.0,True,4000,0.25,4096
137,137,159.21341240000038,144.0,552153.0,True,4000,0.25,4096
138,138,160.5381192000059,144.0,556154.0,True,4000,0.25,4096
139,139,161.85108190000756,144.0,560155.0,True,4000,0.25,4096
140,140,163.13274549999915,144.0,564156.0,True,4000,0.25,4096
141,141,164.3986079000024,144.0,568157.0,True,4000,0.25,4096
142,142,165.66097949999676,144.0,572158.0,True,4000,0.25,4096
143,143,167.08615639999334,144.0,576159.0,True,4000,0.25,4096
144,144,168.4192150000017,144.0,580160.0,True,4000,0.25,4096
145,145,169.63512409999385,144.0,584161.0,True,4000,0.25,4096
146,146,170.92445079999743,144.0,588162.0,True,4000,0.25,4096
147,147,172.16226130000723,144.0,592163.0,True,4000,0.25,4096
148,148,173.56919629999902,144.0,596164.0,True,4000,0.25,4096
149,149,174.8913881000044,144.0,600165.0,True,4000,0.25,4096
150,150,176.2187447000033,144.0,604166.0,True,4000,0.25,4096
151,151,177.49209250000422,144.0,608167.0,True,4000,0.25,4096
152,152,178.79752480000025,144.0,612168.0,True,4000,0.25,4096
153,153,180.02535640000133,144.0,616169.0,True,4000,0.25,4096
154,154,181.28197300000465,144.0,620170.0,True,4000,0.25,4096
155,155,182.5762448000023,144.0,624171.0,True,4000,0.25,4096
156,156,183.8321130999975,144.0,628172.0,True,4000,0.25,4096
157,157,185.09274170000572,144.0,632173.0,True,4000,0.25,4096
158,158,186.47844560000522,144.0,636174.0,True,4000,0.25,4096
159,159,187.7912362000061,144.0,640175.0,True,4000,0.25,4096
160,160,189.0547052000038,144.0,644176.0,True,4000,0.25,4096
161,161,190.38433709999663,144.0,648177.0,True,4000,0.25,4096
162,162,191.6477534000005,144.0,652178.0,True,4000,0.25,4096
163,163,192.8745224000013,144.0,656179.0,True,4000,0.25,4096
164,164,194.13367660000222,144.0,660180.0,True,4000,0.25,4096
165,165,195.4434648000024,144.0,664181.0,True,4000,0.25,4096
166,166,196.71647040000244,144.0,668182.0,True,4000,0.25,4096
167,167,197.93201740000222,144.0,672183.0,True,4000,0.25,4096
168,168,199.25487299999804,144.0,676184.0,True,4000,0.25,4096
169,169,200.57886369999324,144.0,680185.0,True,4000,0.25,4096
170,170,201.87898470000073,144.0,684186.0,True,4000,0.25,4096
171,171,203.31637749999936,144.0,688187.0,True,4000,0.25,4096
172,172,204.62254090000351,144.0,692188.0,True,4000,0.25,4096
