,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
28,0,29.0,0,0.004472800002986332,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,2,0.99,0.001,1.9999100957362836,2,4096,
29,1,29.0,2,0.2975806000031298,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,2,0.99,0.001,1.9940273659370662,2,4096,
30,2,31.0,4,0.6051686000027985,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,2,0.99,0.001,1.9878726222802425,2,4096,
31,4,32.0,8,0.9091949000030581,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",geometric,2,0.99,0.001,1.9818078158698857,2,4096,
32,8,28.0,13,1.195362100002967,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 11, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",geometric,2,0.99,0.001,1.9761161737644135,2,4096,
33,16,26.0,27,1.5527433000024757,"[6, 19, 28, 14, 10, 7, 11, 20, 26, 25, 18, 24, 10, 10, 2, 20, 3, 26, 11, 2, 8, 20, 1, 23, 11, 29, 31, 13, 31, 27, 20, 0]",geometric,2,0.99,0.001,1.9690310892661995,2,4096,
34,32,27.0,56,1.9439791000004334,"[6, 9, 28, 14, 10, 7, 8, 13, 26, 3, 19, 7, 10, 31, 13, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 24, 31, 12, 31, 27, 20, 0]",geometric,2,0.99,0.001,1.9613039599224869,2,4096,
35,64,25.0,110,2.481993900000816,"[0, 10, 28, 12, 9, 7, 16, 11, 30, 28, 19, 7, 19, 31, 13, 12, 3, 26, 11, 2, 8, 20, 30, 23, 30, 22, 19, 25, 31, 4, 20, 4]",geometric,2,0.99,0.001,1.950727360241604,2,4096,
36,128,17.0,204,3.1443773999999394,"[24, 0, 31, 23, 0, 7, 16, 11, 2, 28, 24, 28, 19, 29, 27, 30, 5, 13, 22, 24, 8, 2, 30, 4, 30, 22, 3, 15, 31, 0, 20, 4]",geometric,2,0.99,0.001,1.9377841540366907,2,4096,
37,256,11.0,370,4.142595100001927,"[21, 31, 17, 11, 2, 7, 16, 29, 3, 28, 24, 20, 4, 29, 8, 6, 29, 13, 22, 18, 23, 26, 30, 5, 30, 0, 3, 12, 25, 1, 20, 4]",geometric,2,0.99,0.001,1.9184406766668904,2,4096,
38,512,6.0,656,5.982860400003119,"[21, 31, 17, 11, 29, 7, 19, 16, 3, 28, 24, 18, 30, 0, 8, 6, 4, 13, 22, 25, 23, 2, 14, 5, 14, 26, 26, 12, 7, 18, 1, 15]",geometric,2,0.99,0.001,1.8832846831019066,2,4096,
